unknown,0,7153,2082,1,10
unknown,0,3992,1156,0,10
unknown,0,7153,2082,1,10
unknown,0,247,36,0,10
unknown,0,245,37,0,10
unknown,0,319,60,0,10
unknown,0,302,55,0,10
unknown,0,362,73,0,10
unknown,0,226,34,0,10
unknown,0,305,57,0,10
unknown,0,202,26,0,10
unknown,0,232,33,0,10,0.0,0.0
unknown,0,312,59,0,10,0.0,0.0
unknown,0,216,27,0,200,0.0,0.0
unknown,0,190,17,0,200,0.0,0.0,0
unknown,0,200,21,0,200,0.0,0.0,0
unknown,0,2457,721,0,10,0.0,0.0,0
unknown,0,1691,478,0,10,0.0,0.0,0
unknown,0,362,76,0,10,0.0,0.0,0
unknown,0,1398,386,0,10,0.0,0.0,0
unknown,0,1426,395,0,10,0.0,0.0,0
unknown,0,6893,2083,1,10,0.0,0.0,0
unknown,0,6812,2083,1,10,0.0,0.0,0
unknown,0,235,32,0,10,0.0,0.0,0
unknown,0,862,217,0,10,0.0,0.0,0
unknown,0,6889,2083,1,10,0.0,0.0,0
unknown,0,249,39,0,10,0.0,0.0,0
unknown,0,237,35,0,10,0.0,0.0,0
unknown,0,237,35,0,10,0.0,0.0,0
unknown,0,249,39,0,10,0.0,0.0,0
unknown,0,249,39,0,10,0.0,0.0,0
unknown,0,249,39,0,10,0.0,0.0,0
unknown,0,2526,718,0,10,0.0,0.0,0
unknown,0,2374,686,0,10,0.0,0.0,0
unknown,0,249,39,0,10,0.0,0.0,0
unknown,0,250,39,0,10,0.0,0.0,0
unknown,0,273,47,0,10,0.0,0.0,0
unknown,0,2626,749,0,10,0.0,0.0,0
unknown,0,6906,2082,1,10,0.0,0.0,0
unknown,0,209,32,0,10,0.0,0.0,0
unknown,0,341,68,0,10,0.0,0.0,0
